epoch,accuracy,learning_rate,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,1.0,0.0010000000474974513,0.0,1.0,1.0,0.0,1.0
1,1.0,0.0010000000474974513,0.0,1.0,1.0,0.0,1.0
2,1.0,0.0010000000474974513,0.0,1.0,1.0,0.0,1.0
3,1.0,0.0010000000474974513,0.0,1.0,1.0,0.0,1.0
4,1.0,0.0010000000474974513,0.0,1.0,1.0,0.0,1.0
5,1.0,0.0005000000237487257,0.0,1.0,1.0,0.0,1.0
6,1.0,0.0005000000237487257,0.0,1.0,1.0,0.0,1.0
7,1.0,0.0005000000237487257,0.0,1.0,1.0,0.0,1.0
8,1.0,0.0005000000237487257,0.0,1.0,1.0,0.0,1.0
9,1.0,0.0002500000118743628,0.0,1.0,1.0,0.0,1.0
